Site,Square,iButton 3,Height,CoveredOrOpen,Possible submersion
SL1B,12,1,0,O,Y
SL13C,68,2,100,O,N
SL13C,52,3,387,C,N
SL1B,60,4,187,O,N
SL13C,9,5,0,O,Y
NONE,NA,6,NA,NA,NA
SL13C,12,7,111,O,N
SL13C,58,8,12,O,N
SL1B,35,9,135,H,N
SL13C,52,10,185,H,N
SL13C,76,11,48,O,Y
SL13C,61,12,131,H,N
SL13C,12,13,0,O,N
SL13C,38,14,269,C,N
SL13C,76,15,200,O,N
SL1B,17,16,156,C,N
SL1B,12,17,191,H,N
SL13C,13,18,152,O,N
SL1B,31,19,0,O,N
SL13C,59,20,28,O,Y
SL13C,68,21,15,O,N
SL1B,60,22,286,O,N
SL1B,31,23,246,O,N
SL1B,31,24,423,O,N
SL1B,56,25,151,O,N
SL1B,47,26,365,H,N
SL13C,59,27,389,H,N
SL13C,59,28,198,O,N
SL1B,47,29,155,H,N
SL1B,22,30,106,H,N
SL1B,50,31,28,O,N
SL1B,25,32,199,O,N
SL13C,52,33,40,O,Y
SL1B,56,34,383,O,N
SL13C,58,35,142,O,N
SL1B,55,36,266,H,N
SL1B,25,37,0,O,N
SL1B,22,38,0,O,Y
SL13C,9,39,175,H,N
SL13C,58,40,430,H,N
SL1B,35,41,0,O,N
SL13C,34,42,22,O,N
SL1B,14,43,0,O,N
SL13C,13,44,0,O,N
SL13C,34,45,109,H,N
SL1B,55,46,164,H,N
SL13C,38,47,8,O,N
SL13C,34,48,249,H,N
SL1B,50,49,187,H,N
SL1B,47,50,0,H,N
SL1B,25,51,278,O,N
SL1B,17,52,0,O,N
SL1B,35,53,394,O,N
SL13C,61,54,261,H,N
SL13C,38,55,158,C,N
SL1B,14,56,101,H,N
